day,p05,p50,p95,mean_path
1,982797.815861322,1000856.5174756859,1018799.8609594672,1000712.7437372061
2,976551.4030504164,1001321.8266821109,1026489.7703431449,1001381.4355913488
3,971128.9500403432,1002128.8071552825,1033350.01627113,1002044.0818782182
4,966716.5190051633,1002736.9118444946,1038463.44357778,1002759.4547106995
5,963476.141872109,1003141.4745856842,1043771.9204585579,1003299.8737343836
6,960637.9657015001,1003332.1266233788,1049083.3044939968,1003940.9682621651
7,957953.9501957103,1004489.6781306467,1052937.8547284475,1004705.4712962109
8,954870.1489313083,1005168.9988386964,1057287.432015451,1005514.5522226642
9,953563.0145414285,1005751.4971511635,1061144.7012097202,1006183.812901475
10,951119.3295009551,1006488.1519686021,1064740.1505858703,1006758.8830795058
11,949276.5340091406,1006733.1211672868,1067918.9792453782,1007550.0956801437
12,947039.9163067056,1007809.6494132599,1071926.6755936043,1008137.8982061124
13,944855.291245443,1008020.5622686245,1075098.9993250784,1008898.6691040195
14,942894.9207125825,1008693.5960716426,1079129.886399572,1009609.0158238697
15,941263.7051699945,1008823.72986735,1081916.6303952879,1010324.8718869024
16,939553.1817383473,1009572.3326205933,1085974.1396918835,1010901.3169500805
17,939069.4743840152,1010378.9749678636,1088207.792633013,1011554.3989678806
18,936978.5952957501,1010688.1076123593,1089422.1532760952,1012062.1227565632
19,935415.9518746638,1011650.8648013611,1092892.4416675575,1012741.302915275
20,934548.6015756114,1012578.6399346042,1095328.5898652829,1013391.292879473
21,933279.9901591646,1013410.5115566081,1099990.9170808878,1014225.5896400079
22,932364.9771353782,1013841.7217425657,1102379.8734251275,1015154.3775990539
23,930421.5185596226,1014376.1832267635,1105585.2588306011,1015877.1414418747
24,928869.6532387472,1014761.8834412884,1107659.4739489346,1016695.4939367481
25,928634.145316679,1015474.478107276,1110341.4870037986,1017380.3588254051
26,926382.7474407215,1016240.3449265955,1111972.4159690454,1018161.2549705296
27,927628.8719899255,1017423.6516581837,1115786.1289376207,1019037.5975418186
28,926403.1643255383,1017611.5753890913,1119235.787856748,1019803.2692538834
29,925485.9732406859,1018157.0091503081,1122281.2983902912,1020463.0962536829
30,924463.8333141753,1018959.2425464741,1125472.876736536,1021238.0425000784
31,922980.3593525602,1019112.9069123606,1128808.895184433,1021698.224013578
32,922332.8961310454,1019484.1951192276,1131573.5465908672,1022523.0860995535
33,920357.0671242941,1019914.7508658769,1133994.5957998608,1023202.1478389299
34,919933.9784246654,1020758.6036847073,1135452.2989182798,1023851.3731722019
35,920404.4016237056,1021601.5386812238,1138042.0319953505,1024640.6545136704
36,920079.0189560455,1021989.4783105404,1140814.8896054102,1025251.317874224
37,918167.87015335,1023242.7992671393,1143722.8880622743,1026000.2023476951
38,916977.6007510474,1023910.9397739931,1146141.6926341818,1026737.1140922047
39,915547.0050102759,1025143.5027467078,1148703.1496795728,1027393.4377538704
40,914417.2726123849,1025623.9375900944,1150383.8390322356,1028141.218408367
41,913599.2121877712,1026444.9914280316,1152494.2465443616,1028940.482073964
42,913756.8549999216,1026525.0001613034,1155009.3720353695,1029689.2330826088
43,913916.779387985,1027948.1953571144,1158318.1478721616,1030432.1018948749
44,912370.9268495231,1028649.6495794735,1159440.6476363782,1031112.8000676796
45,911959.9654515552,1029447.0302175558,1162300.0178160502,1032008.7462262722
46,912129.7081865736,1029564.423128247,1164392.8104747124,1032651.9507286211
47,912468.3222146673,1030508.1182844266,1166679.1797671756,1033413.6930960976
48,911351.3981243032,1031349.4500854624,1168936.845679477,1034046.253966013
49,910274.0998280543,1032132.6457547626,1170878.1545809892,1034780.1534389877
50,909739.9808006053,1032754.2190995698,1171068.8140483294,1035408.3989779719
51,908360.1629835503,1032718.6456315749,1173539.1772338569,1036154.499916028
52,907546.1832079634,1033287.512730219,1175872.6795480547,1036950.1477222233
53,905870.4230605747,1034628.6948566289,1179417.3897212863,1037687.8636774308
54,906727.3768885934,1035441.5360913451,1180515.3084966587,1038327.7577463032
55,906567.7236792364,1036228.7261964917,1181623.0163297711,1039152.9413551015
56,904872.7228625324,1036856.5732168402,1183364.9654762046,1039783.8758715393
57,904854.4404292959,1037648.2075998016,1186384.7013457161,1040561.4581418438
58,904278.7776976742,1038999.9217746519,1189369.5396014587,1041179.62484112
59,903899.5118600493,1039314.8816975657,1190848.30934248,1042076.0726891897
60,903777.8605393849,1039969.216611178,1192688.16366716,1042722.7106639361
61,902376.2228340941,1039928.6734449305,1193829.980846776,1043318.9871660507
62,901778.4674580407,1040485.4465526014,1196716.4722078233,1044087.8323002567
63,902392.396999577,1041438.1967398823,1198062.816256848,1044854.7676844684
64,902246.8240664048,1042665.5405665613,1199733.2494191474,1045685.9416555142
65,901042.0994198831,1043497.6519568382,1203607.9041007853,1046405.1220541258
66,901396.3410529548,1044912.8921859488,1206798.4566151628,1047294.0359713186
67,901438.1763023632,1045369.644521329,1207343.9129166799,1048105.3380584673
68,901712.4677314155,1046286.7378810876,1209436.8991513536,1048808.4024354299
69,901683.1113325444,1046883.0724781812,1211331.5792959884,1049517.5779559126
70,901036.9154989808,1047546.3376642249,1213046.1375934004,1050363.0791330226
71,901484.3449272114,1047595.5933154565,1214700.2436234874,1051148.2291522583
72,901860.556358546,1047572.4399813369,1218009.8473059013,1051796.0422617826
73,901040.8949220055,1048309.9248528731,1220143.0504439755,1052487.7189759419
74,900300.7947905298,1048619.0639133751,1224148.0944618944,1053140.2372671927
75,899909.0531767835,1048723.6393762107,1226560.0761179351,1053967.6978587895
76,898838.8960551334,1049029.286468388,1226717.7715960054,1054725.0197738153
77,898767.5565207385,1050375.9474564823,1229742.432376557,1055657.8405846069
78,898774.3165451803,1051409.4888883452,1232279.51109805,1056498.4306283053
79,897208.8484181144,1052011.396617419,1235533.4111616653,1057168.2595755449
80,897483.5973176047,1052991.850189226,1236502.5011068275,1057926.0293942692
81,896979.583440041,1054723.4444220343,1236781.90756401,1058837.6097347965
82,896082.723637378,1054524.9931436419,1236850.0415230284,1059509.6097003245
83,894783.1396444696,1055240.5227880038,1239418.178651169,1060062.1023549335
84,895477.4195749603,1056074.4170456994,1241604.897285418,1060929.0082500644
85,895168.7003265674,1057049.0138305537,1243811.3050736156,1061655.570784008
86,894966.6609691539,1057675.2698967927,1245322.0491125407,1062484.4753458046
87,894165.2106221326,1058185.422366376,1246855.5719010702,1063248.8304252378
88,895636.9117606042,1059693.1875111791,1250038.4204872332,1063858.284001363
89,894686.2908988848,1060532.3948837672,1250866.4816966907,1064573.3263554506
90,895063.5541292011,1059940.4425326735,1252507.864720985,1065399.0735286872
91,894261.900242565,1061398.9245418077,1254885.026216466,1066308.3195133083
92,893741.6387332352,1061703.9204103448,1257404.3631234535,1066875.0125366591
93,893612.5526107985,1062613.792004127,1261591.2602451956,1067615.5044272298
94,892909.7030960209,1063098.1666211078,1262890.9937892447,1068325.9998738864
95,893231.7211262636,1063946.9766276418,1264627.9488981175,1069059.3734280167
96,891231.7544422346,1064743.2749277027,1265041.560257656,1069705.3532722637
97,890918.191868366,1065396.2553185197,1267232.31314796,1070478.5626312944
98,891349.3194131557,1066232.321413662,1270111.5135126684,1071458.4594385698
99,890570.2708051251,1066937.3092420157,1272155.3173579993,1072124.8457384517
100,891004.2935479856,1068131.7126140194,1273978.5074504085,1072848.901255571
101,891269.5159985182,1068217.0766224496,1275165.8950686248,1073459.8084645963
102,893435.5393744328,1068945.4053734825,1277201.9378877357,1074262.5963199057
103,891808.722160114,1069419.039248928,1278994.6330489095,1074792.8357211458
104,890089.7671735036,1070236.0730457446,1280098.46939333,1075529.1312786832
105,889427.4136696904,1070292.27214744,1282376.3218943246,1076459.8064548878
106,889734.8574485001,1070366.449823531,1283610.70510799,1077202.047004097
107,889628.025823606,1071830.106235812,1287154.7945913265,1078037.6929465062
108,889549.3373158135,1071820.0015059616,1289016.9907138944,1078850.4797698096
109,890448.047606529,1073092.9717507446,1291079.6196913123,1079740.6865648986
110,889977.2877764974,1073473.819470091,1292229.6133445273,1080587.934894441
111,888472.4286962295,1074728.1605441272,1295208.7348745517,1081330.5803981805
