day,path_001,path_002,path_003,path_004,path_005,path_006,path_007,path_008,path_009,path_010,path_011,path_012,path_013,path_014,path_015,path_016,path_017,path_018,path_019,path_020,path_021,path_022,path_023,path_024,path_025,path_026,path_027,path_028,path_029,path_030,path_031,path_032,path_033,path_034,path_035,path_036,path_037,path_038,path_039,path_040,path_041,path_042,path_043,path_044,path_045,path_046,path_047,path_048,path_049,path_050,path_051,path_052,path_053,path_054,path_055,path_056,path_057,path_058,path_059,path_060,path_061,path_062,path_063,path_064,path_065,path_066,path_067,path_068,path_069,path_070,path_071,path_072,path_073,path_074,path_075,path_076,path_077,path_078,path_079,path_080,path_081,path_082,path_083,path_084,path_085,path_086,path_087,path_088,path_089,path_090,path_091,path_092,path_093,path_094,path_095,path_096,path_097,path_098,path_099,path_100
1,1017526.4398203723,999835.4830989339,992174.9316692518,995971.9134003612,1014969.543522457,997655.4211483095,992707.9571473107,989734.6623895556,995869.1667171994,1000508.8474020368,987020.9909874406,988913.6647625057,997004.778282172,1006119.3640815804,997596.2825891187,1007025.3216555769,1017093.3411747402,998265.3830159149,1023140.1140168912,999720.5439774302,1005766.9831280822,984534.6927716837,1004526.3352576944,997443.72410635,993557.4171705106,982039.5458247942,990364.4055149187,986090.7923758117,999989.713486574,1000177.8564726247,1007042.4999458732,1014460.8355798579,1026833.7797585976,1022653.4936154949,1011393.7963652567,1000455.3042948954,1016803.0040278479,1032079.7415806882,1000775.7613884858,984736.4961445585,995077.8307391374,997655.2702616054,1016980.2694737195,1022021.6404781999,1012581.9353697172,1010003.1203851905,996306.8902595455,1001264.11651538,984042.1256512168,997141.7635037065,1007203.991154809,993505.2417844139,984073.1053556731,997472.1603939038,1014718.4854729967,987750.0957807368,1005920.1143446248,1005221.2889148142,994894.9614336814,1001970.310629779,995455.6662062997,990325.0152255485,989453.2019351192,1010502.5563958432,1002364.8963332687,1008335.2916997648,1015437.1298381393,1001550.8612299872,1027564.5137907872,985596.2510050583,1008750.4639491934,1003811.6945273636,994937.2752935837,993314.7958565359,993647.4336146077,1012856.522382597,993286.9934854332,1005262.7534523262,999473.0479457116,995487.8447956701,1002903.6735160486,1001739.6201843363,999564.4257905409,994448.7693649476,976549.2511442476,991710.4329185556,1018600.4593396374,970863.1347609592,1011671.9973948052,991839.4762466743,989377.6800303367,987016.1269787336,999868.1243055903,1002144.8195622202,990005.3800799736,975083.8376872846,997598.9404946623,1008269.4780291357,1019373.6639022139,1004573.311913385
2,1035232.592082623,1010532.8074365923,1001002.3147073564,1009368.4878880241,1029121.9033659353,1000157.7822650098,1001662.9546464373,979131.0759938656,1020307.6761929491,996273.2437454524,962211.0831937201,987392.9680495482,1013536.3789628717,990567.0724025622,1007773.0519099513,1000484.301832028,1002341.3044379842,991622.5030951074,1013548.6820516062,993369.8817466019,1022125.9540335881,982157.5966671873,1017090.7854507806,1005683.7014488247,995513.6951004036,982352.4790150182,974441.2593395449,996721.1341597936,1018441.6483006536,991473.5962839432,1011033.8837890325,1027892.1502261756,1015394.0212224837,1030824.6294533756,1005325.7331001322,1008949.195186764,1002661.6874112093,1014954.0234964738,993050.07092959,977987.8511026142,1006304.7608137499,1000193.2894631426,1009735.1639444099,992064.202249416,1003356.3763763151,1012813.7161475068,986134.9292996387,996910.5393847872,988871.4803292808,994929.384394796,1000358.0558164176,990709.2925439195,993164.1416138716,1017389.4055854295,1012855.5627413227,990304.7976240288,1016665.281283051,1008489.1440284816,992957.7884869836,1026513.8965402843,989597.3970947625,988275.2544739065,990741.7399032739,1018997.4301742464,1005564.1143390919,1021706.0683367251,1014983.2640683305,981744.6892409797,1042973.5388626014,995319.0421720546,1030007.6441885788,979119.2460094017,979964.5667932589,996096.9589382908,1008330.7155238182,1012029.7983598057,997431.3325297552,1019055.9832771147,997059.7387244959,981335.2756100465,1003825.7121306895,1010116.3015143988,1013907.5135908484,998025.6864277029,962479.5409839719,985165.3677583432,998249.3048292466,975848.6675382046,1007276.5446101475,987841.2886851367,998952.1590443668,987164.1289201453,1009457.4219206842,1004873.6432941294,1004026.086685349,970283.5082300988,988210.3058268721,1004092.608437118,1025421.8065736194,999269.9066846527
3,1029076.0967618611,999208.5241675677,996085.383400048,1018733.5839660368,1031490.9877448907,991363.0978007979,1011486.4180519892,972987.8224687387,1003884.7174384478,1003991.2010147572,950334.3459490468,987926.7040627542,1025722.4394787492,999485.3987770798,1024822.484764538,997424.752666678,1011553.8123952838,986238.9128773744,1031341.6223069031,982721.8318232144,1017656.6957139304,1002925.4476161269,1012344.857788357,1009034.7085261071,1000488.1535636269,986737.2824998774,972891.5422713239,1003920.5813184244,1014672.1093187274,985343.6414919511,1006964.3477240531,1053025.8057899252,1014126.5242397275,1038688.0687836899,1011772.3974855428,1010809.4768780167,1004509.2640870452,1009590.5059575165,995767.8966625629,981183.7494772173,1017732.7391090449,1001792.4593110316,1007127.4989741492,997297.4300105219,1024321.7716691564,1012447.167658153,973835.5296362035,987499.8238792386,966795.8035204781,996443.6955203679,1003197.9423857894,991469.0902695103,1002845.1032806975,1007241.7009941479,1015665.269142703,993462.615059889,1003578.8226380446,992235.5041444822,986685.5908981904,1016357.6278128452,980628.0319953196,991424.1429339261,985355.477726849,1008323.3764659796,1008013.161108337,1027796.4592495384,1015090.1606046701,993384.3568807024,1034630.8399378316,1000611.7718927963,1042518.0405735632,998511.7806514726,974093.8086047814,988157.3279317807,1000346.412359561,1001203.489941805,1017542.071669782,1023299.4622450586,995658.3392384886,994337.0879620635,997628.424614802,1015070.50187982,1012187.3643527386,993418.8036988861,945171.0112907803,982554.4958994283,1000815.4847946382,978080.4209882545,987900.7962447234,1001486.8662573304,985167.1244723753,988191.3332724489,1030879.2929922559,1014058.5123626691,1018177.9678356755,957205.129578907,992413.3755102609,1019593.2881602297,1034890.5332660698,999741.6116395956
4,1030343.4416898132,1012079.4951876358,994482.8236074586,1018965.1919551548,1050820.8247409493,991987.5068984965,1022653.8963929806,983914.1604753907,1023445.1803408846,1008254.1282158928,951530.210655827,993680.8581682796,1023323.840263124,1022042.5998717797,1023384.5324165041,992919.594593155,1017647.2371264959,984234.6490894384,1034092.4001913032,991309.194863033,1004128.9057034359,978204.9840644302,1019222.4965534133,1002383.9985948155,1010586.906537501,975418.0321194658,972253.641482316,1009634.5908235848,993525.7773995103,974669.5085278511,1009956.2517094356,1057068.5737487064,1019614.282420756,1025835.388806867,996100.1560378892,1004845.2871911511,1005425.3658393861,1014426.844135539,991761.0287433846,968607.8772171077,1012577.3529335366,1005403.2784752469,1014136.1858664512,1000907.654890351,995152.307869243,1025787.0225749892,980531.8460627174,980985.6828994596,976627.9773942706,1004286.4279174837,996722.2734955688,982176.5346993363,1002648.7178576672,1019232.4877048569,1009936.6739232762,1005247.7289004988,1006821.7922767267,982674.1442912907,975430.1222253378,1013772.2486572582,988521.1644838642,991848.3597771308,983515.1956507504,1014500.7965865722,999373.5817980983,1039588.3870308491,1018452.7391376403,997841.672559686,1051926.2886963757,998835.0958921507,1038323.5377942774,1002103.534707109,972876.142421564,985853.8796590703,1003242.8818145723,1012734.6744929581,1019177.9086071681,1027253.8644721025,1034113.6463699165,1000392.0304493299,1020661.0998066295,1023363.4493356065,1019881.751303906,985774.2509135556,939331.0677704128,966454.0544307724,1018378.1805772288,970552.2129890469,1008363.4515747093,998122.2612284649,998297.0909311228,1002994.9337734143,1039817.0382825829,1027060.2304404641,1019371.067756154,971952.0115810101,1009512.6982575667,1008001.7953183429,1027156.2414520243,992429.2333874074
5,1033048.064647363,997399.4547664445,992225.7291765448,1011010.1817651158,1051641.514214593,993469.8651099665,1021803.1189142831,1011785.1896983243,1019677.19477315,986285.3102506625,961605.28332815,997026.1873655003,1018548.278937485,1009650.247091526,1027066.5677580083,977675.4928287021,1005360.1442281168,1000657.388315562,1017297.6308449603,988255.78645831,1008066.192609074,983087.8771663253,1022722.4939834134,998556.4338010851,1012011.1891579821,970820.9904274059,964468.0592857079,1007666.5647218288,977558.3383810233,967965.7840031497,1005757.0438622625,1047050.1112166619,1024855.6893648484,1038749.813448672,999339.1432002992,1013272.8576397976,1021274.6623762186,1010874.730078132,1001705.856797682,966117.1578489247,1014761.5746346886,1013714.3090432143,1025641.997848548,998147.5686158099,995737.8058080345,1026041.2481704466,970662.1799967064,999385.3068117242,982844.1305531781,998600.1481189835,991466.0485048927,991138.6282673,996444.7687865363,1021541.5424002418,1014057.2032590968,1009931.607474851,1005546.1065882451,986800.5566647066,982583.32232891,1027650.4777032158,982622.5249430235,994438.8951824539,971301.349303045,1021567.2549725103,1000383.9169896804,1053970.8056741222,1050343.1881072018,1003222.7282943367,1031350.6516717477,1011525.2488652731,1035436.7129813555,1002963.9018347514,975542.8701609212,979722.8276463171,1000884.6958581663,1020322.293798283,1011014.6297275937,1020958.5198205988,1037736.823156786,994284.7106013076,1010457.120273126,1033168.2497381347,1018239.0426600117,981564.3242694885,932647.1542244626,964566.9415754266,1022718.6481789405,966464.0548341281,1009320.4363411381,1014806.7974491712,985753.7672908234,991978.8115777281,1060826.771875284,1026088.5192660239,1024362.8258510267,988727.1192536701,1015198.4443734962,1007376.4633665798,1030431.1760746355,995801.0456598751
6,1031636.1705044039,1003682.5272019249,987500.0842563907,1040135.7253012784,1060579.0197224235,1021171.3301635364,1023148.7307077954,1018952.8017222327,1017895.2752393413,970434.5614090398,982139.5352058624,990513.3035800589,1028795.0853347889,999147.2310222987,1025296.3612677277,980799.0158020247,982307.4286265648,1005862.1626399149,1004413.120482873,999642.6901643972,1025987.7070486257,983040.947781144,1021423.2251626032,1007686.2524191517,996009.1553822372,984207.8995939423,950056.8375899668,1005202.8293439219,975250.4379462316,944807.229838642,984801.7356857915,1045272.4480139284,1013798.3683696878,1055298.0665484788,1007147.779177294,1016577.7281193755,1017609.8819093868,1025912.2502108917,1008782.2808311435,951653.0012735453,1027495.9368574847,1007704.9125706335,1033959.3411788264,1008000.7521124212,1001517.0634549872,1023514.4379073922,987255.8747196329,1010936.1388515185,982192.1220697798,1005639.7307025571,993017.7429808624,991724.4027494754,1017251.0907388784,1022024.1037597719,1013055.5674401063,1013973.9490688168,1020544.0444819252,988200.9660248392,985389.2829185833,1021877.3170275721,991383.7208093018,993839.4694743854,977202.5183790481,1008064.8390989504,992562.6409341184,1062728.8840032439,1050475.308023765,1008681.6097070106,1032667.528047823,1023996.1859832278,1023975.6251137953,992694.9833395055,973381.6952146445,981816.7396481683,1015715.0711282337,1004688.3828805011,1020523.1817684337,1018850.6210724848,1043102.3893943769,988459.3889649191,995851.6754073303,1036926.1941130697,1022738.5984651531,982822.2769100502,919954.330800274,961354.9477884059,1033440.4104490764,970133.3084406352,1008744.8512026769,1025636.4166342879,981943.887025637,1004838.2081822829,1079510.0136319238,1042070.4595942156,1018734.2927186707,989529.2463839863,1019919.0723396245,1010207.767747541,1032069.0449709329,995757.1571044056
7,1049002.5638403066,1017920.1644755354,984801.562324778,1030448.4521550484,1055824.5711551728,1014203.1576470709,1025504.916558873,1010142.33062489,1031955.1639300995,964567.1085435413,983358.4089769882,984426.5048574294,1026216.5591329592,996577.7921884728,1031527.3919941364,960491.09856731,1001408.1046324732,1031304.983213238,1001981.3465273919,993627.0643393655,1002199.7123884608,982101.5678568344,1000057.3187981232,1010844.0786805091,1004240.6785166624,994961.6770315703,942501.3787308533,1021926.8503658727,965522.8194832029,951693.5659054407,991358.1380278392,1059941.1678656114,1034450.5258008316,1031362.481890469,1004016.9753891581,1025053.2012961148,1027025.3441133266,1036171.2146042925,1007965.0603914361,946990.5239318917,1037960.5121789002,996075.5840719069,1040921.4820343595,994848.5429429257,1008898.7292458434,1029144.2057614021,967955.1220493421,1009085.9929955467,985564.2178551235,1007227.989850414,1001206.2586016883,993060.131359698,1002745.7647079946,1010499.1360507129,1007767.8097229041,1013767.4821012592,1015816.6125289188,984950.7135353914,1002467.8711877303,1025490.7293034641,992338.5175194233,995918.3953846181,966540.8350347634,1010133.3774880816,988972.883278154,1055506.4789250146,1070942.037100663,997922.1406156936,1028594.6041446559,1028263.7550609001,1029197.7845973057,981464.2545740054,970258.5674813952,974229.0301214522,1022701.9806851794,1004966.5110190671,1007870.0946289191,1003117.8444558859,1048491.5748138819,998715.0000141854,988187.7468312919,1032053.0424124317,1011251.0929043093,1003117.9385515867,920724.4713778342,971334.6800829036,1035450.1291852434,972454.36497362,1009077.9417031693,1039290.1317962937,986137.0011906292,993956.4369012096,1096573.9396203107,1025487.0557451765,1019275.0852790016,965902.9433053569,1009437.8871688443,1011626.5647981958,1036406.59040958,1002189.3996406872
8,1062630.2993966013,1016896.1353817034,971141.9572971717,1015447.0015901733,1044755.8981341105,1000078.3733747285,1016579.3570050074,994965.4947939184,1026368.0102305165,967584.8190406004,981864.9426779111,989044.7164120333,1016650.1909614685,988829.7538250044,1020599.3987890484,959214.6813638307,992464.9898534827,1024394.3640581827,1003484.0543883377,988135.3241880687,999001.09225872,976734.7856204264,996487.8375009713,1013331.064672103,1017195.0461911199,997292.2809444887,936224.5626991197,1017760.4625636225,959349.5595233244,953603.735989459,994821.7942841921,1060716.5426355621,1044848.6532919299,1019979.6451992878,994424.101435054,1014572.8532547209,1043113.7764878579,1055994.901014032,1012239.8809930544,948979.9955299546,1038736.6813485255,988796.4299625319,1034268.2108933938,991681.8129043564,1025774.5234757583,1027326.1290827766,964612.8968305237,1002548.988874421,994621.7722732909,1018931.4305058572,991372.9118450044,985572.5894859331,1008743.2256481285,1023706.0720308451,1022953.4523117376,991121.5837447984,1036503.6375419918,968185.7154193653,1005478.4348648016,1007805.2988660582,992840.9572326541,990785.1539932747,968609.1241072599,1016932.9959192557,996928.0377826906,1064366.775144799,1070449.766380718,1007123.407671519,1034559.6874099219,1024616.6751546977,1034529.3050590063,987842.8256667372,954739.63473977,987141.0479836423,1029514.3237833522,988661.481113668,1022467.4353381293,991970.9832198643,1045275.1605225354,1006482.356242582,982363.0040174103,1031276.6536644658,1002223.2652019602,1001048.666111261,926612.1801642828,960759.633611859,1022697.6014617138,970779.1177513837,1012266.2192823846,1037860.7014003193,975933.5982492875,995961.1749859132,1086891.6446669044,1024905.4291031432,1016550.9802655395,953258.1789799873,999397.5367678191,1009628.9133066441,1034799.009710643,1003799.7849546898
9,1061881.6738255813,1028087.957519936,957838.0030106578,1004557.2445425373,1057814.976889741,1012235.7500630273,1025881.6629821095,994293.13347875,1032338.5964043785,961392.5205916758,988846.9308532234,981438.3903320851,1024544.5482020918,992260.2220546346,1048631.2342602876,966159.7763049158,1004076.7077852489,1014129.618081719,998925.6448606731,981027.9461727461,1011310.423120153,974127.1358816822,1014887.9371696182,1010200.4525242045,1002093.2354933638,998731.1581334849,928489.0965781786,1016248.9698312613,968751.302793476,951113.4523808518,997618.6393977709,1059901.0565155626,1037151.1451839732,1024663.8998559588,1005216.8876573173,1013222.9671223984,1058376.2543323745,1067669.2385750206,1003609.5263314045,951739.9117330413,1032856.2283429176,1007713.2311864455,1030724.984891219,997990.67588115,1016514.6288620224,1025188.6238259213,966224.83367683,1007982.4611239776,986488.1715293216,1017737.716916884,983712.9702763053,976110.7356128045,997073.5723397742,1038984.4242738753,999304.3119766504,989412.3824427526,1040024.8891607675,969397.7168100427,992811.9992406967,1012094.2610608296,979351.3658508948,1013403.6545798206,970492.5851700746,1004070.0522571442,980606.7668181992,1067200.6836128181,1061627.9380664644,1014295.365527188,1031210.2677901329,1017542.2568767562,1040273.8024153608,990686.0136942826,945287.5482505937,1002234.9657182384,1031372.9666179232,980797.7183616204,1002958.717520189,976271.7077756373,1041702.8641534835,1006296.8437395183,985598.0982141014,1026172.6149354435,1004893.3578750121,998050.081553022,943785.8391763541,959745.0240344525,1014096.9397921024,979038.8382181688,1009023.9542039228,1046330.5155616105,971685.5611050036,999750.4326645597,1108395.4508348915,1032693.4751744772,982313.7782085664,948017.7764377341,998920.6202086963,1011845.3394826108,1040786.276176797,1006070.4797512847
10,1059065.5029703334,1012920.7928117234,948763.8564542822,997377.0493973717,1044530.254670158,1007103.8136278243,1018179.146764352,1009197.8778840103,1029094.5017819457,948035.6139434179,972632.2171062785,995838.7229388987,1023343.6054161971,968310.9006918106,1063223.2476162068,963412.1215773259,1015952.8965984553,1022045.8974287583,1001606.2286691492,960018.3104765393,1010475.6411411699,974152.6817366027,1030547.1989999074,997890.9213433965,1011988.6536922657,1005568.8947723893,923897.8448164,1023426.7156597412,962584.2389361358,951151.3035120969,999754.206785139,1070409.7019908975,1030205.0554699278,1021340.9894729024,1010186.8492074754,1018688.0037041596,1061818.1121488563,1044419.5679272889,997906.9198618412,945782.0103059759,1028041.4633150563,1016193.3743909071,1018370.3133802699,1011270.7659404532,1013611.276927499,1044161.5235283661,969408.5867805433,1028249.5342377167,979734.8018415829,1020778.9068675446,1005164.7031956076,979281.8318383582,989550.3059602218,1044484.8419791001,1002759.5579895725,987689.2995760529,1043397.6431323084,959027.8472282835,995702.0016589809,1003048.4190044791,984442.9510672798,1022335.7146197096,960726.7694768354,1010255.2817936956,965288.2717695137,1062192.5512479441,1068601.6450993216,1030704.3373856841,1020243.8200547473,1032280.289378106,1047319.4223714019,979453.2770734379,948859.359946188,987199.3862783699,1034163.7709923419,960029.3403718212,989527.9384690832,981358.709318906,1024928.8341509841,1002817.9030306179,989121.4787220747,1013436.4689608369,1008708.6459232784,1000329.8424834497,944020.2811813985,951355.1675932711,1011976.6052638981,975926.9819241035,990359.9013469995,1050899.8924221639,959441.2708024033,1011038.8218252935,1089188.7971705708,1041536.7333169006,969550.2079449415,927713.7093890901,987397.6561163862,1006982.7789849027,1059515.6036453987,1027544.1974934448
