Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-02-23,158273000,93544000,4125100,7042800,16234400,30228700,12719000,391780000,10145300,33527900,6296610000
2021-02-24,111039900,60226000,4925000,10286100,15061400,26339700,12302200,448320000,7263000,28728600,6012790000
2021-02-25,148199500,90676000,4313000,9719700,18127700,39542200,11747100,824436000,7790800,29670900,6547470000
2021-02-26,164560400,85518000,4461300,14417500,19829200,37819200,12583200,500932000,17718800,35291000,6526070000
2021-03-01,116307900,54582000,2871200,10551400,14845500,25324000,12272600,353184000,7740200,36998300,5114820000
2021-03-02,102260900,51916000,2854300,7610900,14221700,22812500,8738500,264116000,10206500,30302600,5536010000
2021-03-03,112966300,79774000,2664000,8499600,14324100,34029500,11748900,377592000,7537000,35358900,6173660000
2021-03-04,178155000,109632000,3568400,11033200,20093900,44727800,11998700,573344000,10228100,52137500,7195400000
2021-03-05,153766600,107772000,3602300,8331600,18465100,41872800,15509900,542840000,10490900,51429800,6851070000
2021-03-08,154376600,83700000,3048700,6546700,17133300,35267400,12479400,543112000,9224700,38154600,5871710000
2021-03-09,129525800,80600000,2902400,7461300,16238800,33080500,9363700,521824000,8859700,35645900,5513560000
2021-03-10,111943300,60250000,2435800,6635600,14342200,29746800,8247200,384376000,9070900,31579100,5847380000
2021-03-11,103026500,55528000,2960000,6305600,11771500,29907600,6602500,299916000,6941500,24802600,5312880000
2021-03-12,88105100,48438000,4756500,5474800,12849500,22653700,6113100,243964000,6521900,20422700,4476280000
2021-03-15,92403800,58272000,4215300,5524100,12101100,26034900,7129200,221988000,7172600,31243600,4900100000
2021-03-16,115227900,50776000,3539200,6369100,12805600,28092200,6512700,272128000,6485200,30624800,4613080000
2021-03-17,111932600,62372000,3518500,6001400,13952400,29562100,10343300,243864000,6192900,25575500,4561660000
2021-03-18,121229700,72992000,4336200,4801800,21898500,34833000,14198800,293896000,6871300,38622800,5118590000
2021-03-19,185549500,92508000,7485100,14891500,54418800,46430700,22806700,299208000,20262100,84439400,7757420000
2021-03-22,111912300,58044000,2211600,7544100,19944800,30127000,10057700,297804000,8077600,29315100,4316260000
2021-03-23,95467100,76346000,4017600,7178300,17076300,31638400,10723800,222048000,9503800,33493300,4669010000
2021-03-24,88530500,59180000,4258000,6370100,13079800,25620100,14537400,245840000,8318000,29781800,4783020000
2021-03-25,98844700,71270000,2901800,6269800,15608300,34061900,6823600,295144000,7517300,31495900,4948340000
2021-03-26,94071200,66258000,3040100,7619200,16754400,25479900,10106000,363968000,10821200,34226500,5483160000
2021-03-29,80819200,54920000,3003200,8535100,17570300,25227500,8644500,273520000,11176000,21144400,4628180000
2021-03-30,85671900,46752000,3139100,7236300,13184300,24792000,5964600,200204000,8090600,20303400,4121510000
2021-03-31,118323800,61878000,4512300,8281500,16736700,43623500,9430500,314776000,9202600,23686500,4578050000
2021-04-01,75089100,58806000,3787100,7229700,16561500,30338000,6548900,308276000,9117800,23194500,4162130000
2021-04-05,88651200,66698000,2323400,7387100,13508000,36910600,7328400,255672000,8279100,23264800,4005030000
2021-04-06,80171300,50756000,2614500,5074200,13071600,22931900,6570500,191744000,6180600,18926300,4081270000
2021-04-07,83466700,66924000,2449600,4608000,16903500,22719800,6761600,251284000,10244500,22385000,4120810000
2021-04-08,88844600,56242000,2158900,5039400,12335500,23625200,7454600,244416000,6190300,21999300,3907100000
2021-04-09,106686700,86830000,2482900,8418300,12122400,24326800,4969600,195172000,5855400,20020700,3640390000
2021-04-12,91420000,65636000,1688200,5022800,12273400,27148700,6052900,869324000,6440900,20238800,3588900000
2021-04-13,91266500,66316000,2286400,18424100,16113600,23837500,6319000,676212000,9161200,19370600,3734720000
2021-04-14,87222800,62904000,2491000,7718300,19939600,23070900,4478200,385500000,7584000,28051100,3985350000
